 N  lengthscale  noise_std       method      mse       nll  cov90  cov95   sigma2_obs  sigma2_hat  wall_ms_per_step
32         0.05       0.05         legs 0.001236       NaN    NaN    NaN          NaN         NaN          0.046310
32         0.05       0.05         srif 0.001053  4.176728 0.3524 0.4188          NaN    0.002846          0.245799
32         0.05       0.05  srif_oracle 0.001053  5.039383 0.3330 0.3916          NaN    0.002500               NaN
32         0.05       0.05 unhippo_best 0.002912  7.478754 1.0000 1.0000 1.000000e+07         NaN          0.068073
32         0.05       0.10         legs 0.001436       NaN    NaN    NaN          NaN         NaN          0.046746
32         0.05       0.10         srif 0.001243 -0.712787 0.5834 0.6604          NaN    0.010631          0.242192
32         0.05       0.10  srif_oracle 0.001243 -0.643704 0.5706 0.6484          NaN    0.010000               NaN
32         0.05       0.10 unhippo_best 0.003111  7.478754 1.0000 1.0000 1.000000e+07         NaN          0.051969
32         0.05       0.25         legs 0.002812       NaN    NaN    NaN          NaN         NaN          0.047575
32         0.05       0.25         srif 0.002572 -1.507680 0.8026 0.8874          NaN    0.065094          0.242773
32         0.05       0.25  srif_oracle 0.002572 -1.508607 0.7998 0.8820          NaN    0.062500               NaN
32         0.05       0.25 unhippo_best 0.004814  7.478754 1.0000 1.0000 1.000000e+07         NaN          0.053182
32         0.05       0.50         legs 0.007690       NaN    NaN    NaN          NaN         NaN          0.048833
32         0.05       0.50         srif 0.007257 -1.069031 0.8900 0.9562          NaN    0.258040          0.251761
32         0.05       0.50  srif_oracle 0.007261 -1.071979 0.8844 0.9522          NaN    0.250000               NaN
32         0.05       0.50 unhippo_best 0.011331  7.478754 1.0000 1.0000 1.000000e+07         NaN          0.046156
32         0.15       0.05         legs 0.000268       NaN    NaN    NaN          NaN         NaN          0.045413
32         0.15       0.05         srif 0.000064 -3.446451 0.9154 0.9710          NaN    0.002596          0.252009
32         0.15       0.05  srif_oracle 0.000064 -3.451378 0.9132 0.9670          NaN    0.002500               NaN
32         0.15       0.05 unhippo_best 0.001450  7.478754 1.0000 1.0000 1.000000e+07         NaN          0.052515
32         0.15       0.10         legs 0.000445       NaN    NaN    NaN          NaN         NaN          0.048118
32         0.15       0.10         srif 0.000254 -2.753938 0.9154 0.9730          NaN    0.010402          0.255062
32         0.15       0.10  srif_oracle 0.000254 -2.758255 0.9132 0.9666          NaN    0.010000               NaN
32         0.15       0.10 unhippo_best 0.001736  7.478754 1.0000 1.0000 1.000000e+07         NaN          0.042480
32         0.15       0.25         legs 0.001750       NaN    NaN    NaN          NaN         NaN          0.048526
32         0.15       0.25         srif 0.001585 -1.839298 0.9158 0.9710          NaN    0.064673          0.252241
32         0.15       0.25  srif_oracle 0.001585 -1.842778 0.9132 0.9662          NaN    0.062500               NaN
32         0.15       0.25 unhippo_best 0.002789  8.351815 1.0000 1.0000 1.000000e+08         NaN          0.045756
32         0.15       0.50         legs 0.006511       NaN    NaN    NaN          NaN         NaN          0.048381
32         0.15       0.50         srif 0.006283 -1.149901 0.9158 0.9706          NaN    0.258537          0.262730
32         0.15       0.50  srif_oracle 0.006285 -1.153429 0.9132 0.9662          NaN    0.250000               NaN
32         0.15       0.50 unhippo_best 0.006203  9.192816 1.0000 1.0000 1.000000e+09         NaN          0.048050
64         0.05       0.05         legs 0.000244       NaN    NaN    NaN          NaN         NaN          0.072914
64         0.05       0.05         srif 0.000150 -3.036505 0.9200 0.9614          NaN    0.002846          0.485718
64         0.05       0.05  srif_oracle 0.000150 -3.045047 0.9024 0.9464          NaN    0.002500               NaN
64         0.05       0.05 unhippo_best 0.001036  8.860372 1.0000 1.0000 1.000000e+08         NaN          0.128326
64         0.05       0.10         legs 0.000732       NaN    NaN    NaN          NaN         NaN          0.071621
64         0.05       0.10         srif 0.000598 -2.350014 0.9106 0.9530          NaN    0.010631          0.494422
64         0.05       0.10  srif_oracle 0.000598 -2.352420 0.9032 0.9466          NaN    0.010000               NaN
64         0.05       0.10 unhippo_best 0.001536  8.860372 1.0000 1.0000 1.000000e+08         NaN          0.148357
64         0.05       0.25         legs 0.004121       NaN    NaN    NaN          NaN         NaN          0.071725
64         0.05       0.25         srif 0.003708 -1.436522 0.9088 0.9506          NaN    0.065094          0.472456
64         0.05       0.25  srif_oracle 0.003709 -1.439568 0.9044 0.9464          NaN    0.062500               NaN
64         0.05       0.25 unhippo_best 0.003777  9.723300 1.0000 1.0000 1.000000e+09         NaN          0.155916
64         0.05       0.50         legs 0.016186       NaN    NaN    NaN          NaN         NaN          0.072993
64         0.05       0.50         srif 0.014420 -0.756194 0.9106 0.9506          NaN    0.258040          0.476741
64         0.05       0.50  srif_oracle 0.014437 -0.758178 0.9056 0.9488          NaN    0.250000               NaN
64         0.05       0.50 unhippo_best 0.009928  9.723300 1.0000 1.0000 1.000000e+09         NaN          0.160552
64         0.15       0.05         legs 0.000219       NaN    NaN    NaN          NaN         NaN          0.073990
64         0.15       0.05         srif 0.000150 -3.040322 0.9074 0.9480          NaN    0.002596          0.491954
64         0.15       0.05  srif_oracle 0.000150 -3.044981 0.9018 0.9468          NaN    0.002500               NaN
64         0.15       0.05 unhippo_best 0.001251  8.860372 1.0000 1.0000 1.000000e+08         NaN          0.166512
64         0.15       0.10         legs 0.000690       NaN    NaN    NaN          NaN         NaN          0.073559
64         0.15       0.10         srif 0.000599 -2.348645 0.9082 0.9498          NaN    0.010402          0.478814
64         0.15       0.10  srif_oracle 0.000599 -2.352259 0.9028 0.9466          NaN    0.010000               NaN
64         0.15       0.10 unhippo_best 0.001601  9.723300 1.0000 1.0000 1.000000e+09         NaN          0.141547
64         0.15       0.25         legs 0.004027       NaN    NaN    NaN          NaN         NaN          0.074391
64         0.15       0.25         srif 0.003710 -1.435871 0.9086 0.9494          NaN    0.064673          0.497721
64         0.15       0.25  srif_oracle 0.003711 -1.439226 0.9028 0.9470          NaN    0.062500               NaN
64         0.15       0.25 unhippo_best 0.002969 10.561666 1.0000 1.0000 1.000000e+10         NaN          0.174196
64         0.15       0.50         legs 0.016004       NaN    NaN    NaN          NaN         NaN          0.073222
64         0.15       0.50         srif 0.014430 -0.754687 0.9084 0.9498          NaN    0.258537          0.506396
64         0.15       0.50  srif_oracle 0.014445 -0.757796 0.9034 0.9490          NaN    0.250000               NaN
64         0.15       0.50 unhippo_best 0.006389 10.561666 1.0000 1.0000 1.000000e+10         NaN          0.141806

Wrote 1120 rows to runs/e1_full
