pattern  missing_frac  noise_std stratum              method  n_points          mse       nll    cov90    cov95     mean_std   sigma2_obs  sigma2_hat
 blocks           0.3       0.10     all         legs_linear    1000.0 4.960444e-03       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.3       0.10     all            legs_zoh    1000.0 6.023436e-02       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.3       0.10     all                srif    1000.0 1.087810e-02 -2.034332 0.868300 0.940600 5.362028e-02          NaN    0.010643
 blocks           0.3       0.10     all           srif_flat    1000.0 1.318939e-02 -2.014370 0.862800 0.936600 5.580503e-02          NaN    0.010643
 blocks           0.3       0.10     all    srif_transported    1000.0 1.315530e-02 -2.015182 0.862600 0.935700 5.595228e-02          NaN    0.010643
 blocks           0.3       0.10     all unhippo_linear_best    1000.0 5.600533e-03  8.351815 1.000000 1.000000 1.706872e+03 1.000000e+08         NaN
 blocks           0.3       0.10     all unhippo_native_best    1000.0 4.866501e-03  6.646397 1.000000 1.000000 3.176909e+02 1.000000e+06         NaN
 blocks           0.3       0.10     all    unhippo_zoh_best    1000.0 4.834191e-02  9.192816 1.000000 1.000000 3.999603e+03 1.000000e+09         NaN
 blocks           0.3       0.10  d21_50         legs_linear     126.2 2.078926e-02       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.3       0.10  d21_50            legs_zoh     126.2 2.642768e-01       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.3       0.10  d21_50                srif     126.2 5.832781e-02 -0.082406 0.743419 0.906239 1.958270e-01          NaN    0.010643
 blocks           0.3       0.10  d21_50           srif_flat     126.2 7.107953e-02 -0.006811 0.729570 0.878919 2.077778e-01          NaN    0.010643
 blocks           0.3       0.10  d21_50    srif_transported     126.2 7.136869e-02 -0.007978 0.728184 0.872398 2.086039e-01          NaN    0.010643
 blocks           0.3       0.10  d21_50 unhippo_linear_best     126.2 1.791802e-02  8.309044 1.000000 1.000000 1.622273e+03 1.000000e+08         NaN
 blocks           0.3       0.10  d21_50 unhippo_native_best     126.2 1.534037e-02  6.129806 1.000000 1.000000 1.841647e+02 1.000000e+05         NaN
 blocks           0.3       0.10  d21_50    unhippo_zoh_best     126.2 1.175446e-01 10.012333 1.000000 1.000000 9.000117e+03 1.000000e+10         NaN
 blocks           0.3       0.10    d50p         legs_linear      27.0 4.979276e-02       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.3       0.10    d50p            legs_zoh      27.0 5.610466e-01       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.3       0.10    d50p                srif      27.0 1.831584e-01  0.307186 0.833333 1.000000 3.162268e-01          NaN    0.010369
 blocks           0.3       0.10    d50p           srif_flat      27.0 2.269070e-01  0.389542 0.701389 1.000000 3.397947e-01          NaN    0.010369
 blocks           0.3       0.10    d50p    srif_transported      27.0 2.249509e-01  0.377778 0.708333 1.000000 3.414035e-01          NaN    0.010369
 blocks           0.3       0.10    d50p unhippo_linear_best      27.0 4.171296e-02  9.149648 1.000000 1.000000 3.763931e+03 1.000000e+09         NaN
 blocks           0.3       0.10    d50p unhippo_native_best      27.0 4.259109e-02  6.043709 1.000000 1.000000 1.682644e+02 1.000000e+05         NaN
 blocks           0.3       0.10    d50p    unhippo_zoh_best      27.0 1.551941e-01 10.881930 1.000000 1.000000 2.132256e+04 1.000000e+11         NaN
 blocks           0.3       0.25     all         legs_linear    1000.0 1.637628e-02       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.3       0.25     all            legs_zoh    1000.0 7.986138e-02       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.3       0.25     all                srif    1000.0 3.271314e-02 -1.189241 0.887000 0.947400 1.172359e-01          NaN    0.066400
 blocks           0.3       0.25     all           srif_flat    1000.0 7.673714e-02 -1.103784 0.864300 0.938000 1.377302e-01          NaN    0.066400
 blocks           0.3       0.25     all    srif_transported    1000.0 8.116467e-02 -1.100036 0.861900 0.933100 1.399455e-01          NaN    0.066400
 blocks           0.3       0.25     all unhippo_linear_best    1000.0 1.507452e-02  8.351815 1.000000 1.000000 1.706872e+03 1.000000e+08         NaN
 blocks           0.3       0.25     all unhippo_native_best    1000.0 7.705478e-03  7.519569 1.000000 1.000000 7.487386e+02 1.000000e+07         NaN
 blocks           0.3       0.25     all    unhippo_zoh_best    1000.0 6.274149e-02  9.192816 1.000000 1.000000 3.999603e+03 1.000000e+09         NaN
 blocks           0.3       0.25  d21_50         legs_linear     126.2 6.068284e-02       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.3       0.25  d21_50            legs_zoh     126.2 3.491257e-01       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.3       0.25  d21_50                srif     126.2 1.697929e-01  0.553976 0.845446 0.922857 3.990531e-01          NaN    0.066400
 blocks           0.3       0.25  d21_50           srif_flat     126.2 4.104288e-01  0.885962 0.727470 0.896959 5.095307e-01          NaN    0.066400
 blocks           0.3       0.25  d21_50    srif_transported     126.2 4.415336e-01  0.905151 0.726171 0.869954 5.218944e-01          NaN    0.066400
 blocks           0.3       0.25  d21_50 unhippo_linear_best     126.2 4.416699e-02  9.158436 1.000000 1.000000 3.814093e+03 1.000000e+09         NaN
 blocks           0.3       0.25  d21_50 unhippo_native_best     126.2 2.151153e-02  6.886792 1.000000 1.000000 3.925155e+02 1.000000e+06         NaN
 blocks           0.3       0.25  d21_50    unhippo_zoh_best     126.2 1.462506e-01 10.012333 1.000000 1.000000 9.000117e+03 1.000000e+10         NaN
 blocks           0.3       0.25    d50p         legs_linear      27.0 7.861535e-02       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.3       0.25    d50p            legs_zoh      27.0 5.970624e-01       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.3       0.25    d50p                srif      27.0 4.144342e-01  0.819477 1.000000 1.000000 6.097400e-01          NaN    0.065295
 blocks           0.3       0.25    d50p           srif_flat      27.0 1.289426e+00  1.272164 0.805556 1.000000 8.321648e-01          NaN    0.065295
 blocks           0.3       0.25    d50p    srif_transported      27.0 1.371084e+00  1.282198 0.750000 1.000000 8.566138e-01          NaN    0.065295
 blocks           0.3       0.25    d50p unhippo_linear_best      27.0 6.833007e-02 10.014785 1.000000 1.000000 8.957312e+03 1.000000e+10         NaN
